,Population,Region ID,Region Name
2060,398,22110, East Gippsland
2061,88,22250, Gannawarra
2064,2620,22670, Greater Dandenong
2068,2355,23670, Knox
2069,1944,23670, Knox
2074,717,25900, Port Phillip
2078,2071,27450, Yarra Ranges
2082,466,22110, East Gippsland
2088,56,23940, Loddon
2091,507,24600, Melbourne
2095,693,25250, Moreland
2100,672,26810, Wellington
2101,1935,27450, Yarra Ranges
2102,1695,27450, Yarra Ranges
2104,51,29399, Unincorporated Vic
2111,13197,21610, Casey
2112,456,22110, East Gippsland
2113,486,22250, Gannawarra
2114,295,22910, Hepburn
2118,276,25430, Mount Alexander
2119,266,25490, Moyne
2121,717,25710, Nillumbik
2123,96,26080, Queenscliffe
2129,2228,26980, Whitehorse
2131,817,27350, Yarra
2133,61,29399, Unincorporated Vic
2141,2862,22670, Greater Dandenong
2143,1669,23670, Knox
2144,730,23810, Latrobe (Vic.)
2145,77,23940, Loddon
2151,1013,26350, Stonnington
2152,519,26490, Surf Coast
2153,68,26670, Towong
2154,2335,26980, Whitehorse
2157,612,27350, Yarra
2161,392,21370, Campaspe
2165,2134,22670, Greater Dandenong
2166,4474,23110, Hobsons Bay
2169,2109,23430, Kingston (Vic.)
2176,144,25810, Northern Grampians
2178,501,26490, Surf Coast
2179,540,26810, Wellington
2180,521,27170, Wodonga
2183,140,21010, Benalla
2184,1139,21110, Boroondara
2185,241,21750, Colac Otway
2186,145,21830, Corangamite
2188,379,22490, Golden Plains
2191,1031,25710, Nillumbik
2199,1248,20570, Ballarat
2209,91322,23110, Hobsons Bay
2210,4251,23270, Hume
2212,275,23940, Loddon
2214,388,25150, Moorabool
2227,35,29399, Unincorporated Vic
2232,1289,20910, Bayside (Vic.)
2235,147,21670, Central Goldfields
2238,1126,23110, Hobsons Bay
2242,656,24850, Mitchell
2243,188,25490, Moyne
2245,761,25900, Port Phillip
2247,117,26670, Towong
2250,0,29799, Migratory - Offshore - Shipping (Vic.)
2251,292,20740, Bass Coast
2254,1086,21670, Central Goldfields
2256,181,21830, Corangamite
2257,238,21830, Corangamite
2264,3,26490, Surf Coast
2267,1942,26980, Whitehorse
2270,0,29799, Migratory - Offshore - Shipping (Vic.)
2272,674,20830, Baw Baw
2275,4242,21610, Casey
2276,1745,22310, Glen Eira
2277,361,22490, Golden Plains
2282,2201,23670, Knox
2285,1328,24210, Manningham
2288,686,24330, Maribyrnong
2290,290,24900, Moira
2291,1087,25060, Moonee Valley
2293,1514,25250, Moreland
2302,3,29799, Migratory - Offshore - Shipping (Vic.)
2307,1981,22490, Golden Plains
2308,180,22490, Golden Plains
2310,2816,23270, Hume
2311,337,24130, Macedon Ranges
2312,73,24250, Mansfield
2313,1825,24970, Monash
2315,190397,24970, Monash
2318,696,25710, Nillumbik
2322,1556,26490, Surf Coast
2326,772,20110, Alpine
2336,747,23110, Hobsons Bay
2337,3191,23270, Hume
2342,1963,24650, Melton
2343,3505,24850, Mitchell
2346,164,25430, Mount Alexander
2351,133,26670, Towong
2352,428,26730, Warrnambool
2360,8324,21110, Boroondara
2361,680,21750, Colac Otway
2368,186,23190, Horsham
2377,9,29399, Unincorporated Vic
2379,6155,20660, Banyule
2380,282,21270, Buloke
2382,201,21830, Corangamite
2388,94,24250, Mansfield
2392,1375,25250, Moreland
2393,1846,25340, Mornington Peninsula
2395,107,25810, Northern Grampians
2401,397,27170, Wodonga
2402,2738,27260, Wyndham
2405,892,29499, No usual address (Vic.)
2406,0,29799, Migratory - Offshore - Shipping (Vic.)
2411,2703,21890, Darebin
2413,410,22830, Greater Shepparton
2415,16366,24650, Melton
2416,749,24780, Mildura
2418,349,24900, Moira
2420,116,25810, Northern Grampians
2425,366,26700, Wangaratta
2430,458,27170, Wodonga
2433,766,20740, Bass Coast
2437,156,21010, Benalla
2440,2132,22310, Glen Eira
2447,5595,26350, Stonnington
2448,14445,27070, Whittlesea
2449,2650,27350, Yarra
2455,1463,20570, Ballarat
2456,731,20830, Baw Baw
2463,167,22410, Glenelg
2469,1162,24210, Manningham
2477,134,29499, No usual address (Vic.)
2479,3160,21180, Brimbank
2480,51,21270, Buloke
2481,379,21370, Campaspe
2482,1123,21750, Colac Otway
2483,540,22110, East Gippsland
2484,812,22170, Frankston
2490,172,23350, Indigo
2491,1838,23430, Kingston (Vic.)
2493,1171,24330, Maribyrnong
2494,602,24600, Melbourne
2497,255,25620, Murrindindi
2498,4850,25710, Nillumbik
2499,115,25810, Northern Grampians
2500,255,26170, South Gippsland
2501,107,26430, Strathbogie
2505,88,27630, Yarriambiack
2507,1073,20660, Banyule
2510,2344,21180, Brimbank
2516,13536,23270, Hume
2517,1715,23430, Kingston (Vic.)
2520,709,24130, Macedon Ranges
2522,757,24780, Mildura
2524,516,25150, Moorabool
2525,3817,25250, Moreland
2526,115,25430, Mount Alexander
2534,495,20740, Bass Coast
2539,1073,24210, Manningham
2540,617,24780, Mildura
2541,2678,24970, Monash
2542,1575,25060, Moonee Valley
2543,462,25150, Moorabool
2545,1649,25340, Mornington Peninsula
2557,1351,20660, Banyule
2558,1510,20910, Bayside (Vic.)
2559,115,21010, Benalla
2561,65,21270, Buloke
2562,150,21830, Corangamite
2573,1353,25340, Mornington Peninsula
2574,637,25710, Nillumbik
2575,899,25900, Port Phillip
2577,75,26670, Towong
2581,62,27630, Yarriambiack
2582,182,29499, No usual address (Vic.)
2583,0,29799, Migratory - Offshore - Shipping (Vic.)
2585,1455,20570, Ballarat
2587,320,21750, Colac Otway
2593,416,24130, Macedon Ranges
2601,761,24780, Mildura
2602,327,24900, Moira
2603,1493,25340, Mornington Peninsula
2604,1043,25430, Mount Alexander
2605,418,26490, Surf Coast
2608,4,29399, Unincorporated Vic
2609,844,20260, Ararat
2613,2225,21110, Boroondara
2614,2782,21180, Brimbank
2615,163,21670, Central Goldfields
2623,149615,24600, Melbourne
2624,698,24850, Mitchell
2625,1402,24850, Mitchell
2626,1657,25250, Moreland
2629,91,26430, Strathbogie
2634,3838,27070, Whittlesea
2639,1648,20570, Ballarat
2643,1882,23270, Hume
2645,954,23670, Knox
2647,6664,24210, Manningham
2648,107,24250, Mansfield
2650,717,24600, Melbourne
2651,2582,24650, Melton
2657,0,27630, Yarriambiack
2660,132,20260, Ararat
2665,1577,22620, Greater Bendigo
2668,991,23810, Latrobe (Vic.)
2671,319,24600, Melbourne
2675,1207,26350, Stonnington
2678,2287,26980, Whitehorse
2681,190,20110, Alpine
2683,1797,21450, Cardinia
2686,1904,22670, Greater Dandenong
2696,81,25990, Pyrenees
2698,57,26890, West Wimmera
2702,7,29399, Unincorporated Vic
2704,542,20740, Bass Coast
2705,3438,20830, Baw Baw
2707,59,21270, Buloke
2708,5059,21610, Casey
2713,415,24900, Moira
2714,257,25150, Moorabool
2723,5,29399, Unincorporated Vic
2725,1468,20660, Banyule
2726,983,20660, Banyule
2729,7593,21110, Boroondara
2730,6729,21890, Darebin
2737,60,23940, Loddon
2741,2147,24970, Monash
2742,1219,25060, Moonee Valley
2762,2086,23670, Knox
2764,3305,24970, Monash
2765,1653,24970, Monash
2767,227,26430, Strathbogie
2768,558,26490, Surf Coast
2769,37,26890, West Wimmera
2770,1906,26980, Whitehorse
2773,85,27630, Yarriambiack
2778,900,20910, Bayside (Vic.)
2779,1028,20910, Bayside (Vic.)
2784,900,22620, Greater Bendigo
2785,1744,22670, Greater Dandenong
2799,573,26810, Wellington
2801,608,27170, Wodonga
2807,4802,21610, Casey
2809,1102,21890, Darebin
